English Name,Japanese Name
Ice Shard,こおりのつぶて
Bleakwind Storm,こがらしあらし
Icy Wind,こごえるかぜ
Glaciate,こごえるせかい
Mind Reader,こころのめ
Phantom Force,ゴーストダイブ
Cosmic Power,コスモパワー
Freezy Frost,こちこちフロスト
Coaching,コーチング
Sky Attack,ゴッドバード
Cotton Guard,コットンガード
Court Change,コートチェンジ
Powder Snow,こなゆき
Leafage,このは
Follow Me,このゆびとまれ
Meteor Mash,コメットパンチ
Endure,こらえる
Ice Burn,コールドフレア
Make It Rain,ゴールドラッシュ
Rollout,ころがる
Scary Face,こわいかお
Origin Pulse,こんげんのはどう
Revival Blessing,さいきのいのり
Psybeam,サイケこうせん
Psywave,サイコウェーブ
Psycho Cut,サイコカッター
Psychic,サイコキネシス
Psycho Shift,サイコシフト
Psyshock,サイコショック
Psychic Noise,サイコノイズ
Psychic Fangs,サイコファング
Psychic Terrain,サイコフィールド
Expanding Force,サイコブレイド
Psystrike,サイコブレイク
Psyblade,サイコブレイド
Ally Switch,サイドチェンジ
Instruct,さいはい
Hypnosis,さいみんじゅつ
Thousand Arrows,サウザンドアロー
Thousand Waves,サウザンウェーブ
Quash,さきおくり
Me First,さきどり
Embargo,さしおさえ
Judgment,さばきのつぶて
Splishy Splash,ざぶざぶサーフ
Chilly Reception,さむいギャグ
Uproar,さわぐ
Searing Sunraze Smash,サンシャインスマッシャー
Thunder Cage,サンダープリズン
Jet Punch,ジェットパンチ
Shell Side Arm,シェルアームズ
Razor Shell,シェルブレード
Geomancy,ジオコントロール
Salt Cure,しおづけ
Water Spout,しおふき
Brine,しおみず
Signal Beam,シグナルビーム
Psych Up,じこあんじ
Submission,じごくぐるま
Recover,じこさいせい
X-Scissor,シザークロス
Earthquake,じしん
Nature's Madness,しぜんのいかり
Nature Power,しぜんのちから
Natural Gift,しぜんのめぐみ
Lick,したでなめる
Stomping Tantrum,じだんだ
Soul-Stealing 7-Star Strike,しちせいだっこんたい
Burning Jealousy,しっとのほのお
Payback,しっぺがえし
Shed Tail,しっぽぎり
Tail Whip,しっぽをふる
Seed Flare,シードフレア
Bulldoze,じならし
Zen Headbutt,しねんのずつき
Self-Destruct,じばく
Magnet Flux,じばそうさく
Stun Spore,しびれごな
Wring Out,しめつける
Bind,しめつける
Gyro Ball,ジャイロボール
Matcha Gotcha,シャカシャカほう
Sinister Arrow Raid,シャドーアローズストライク
Malignant Chain,じゃどくのくさり
Shadow Claw,シャドークロー
Spectral Thief,シャドースチール
Shadow Ball,シャドーボール
Shadow Bone,シャドーボーン
Moongeist Beam,シャドーレイ
Play Rough,じゃれつく
Jungle Healing,ジャングルヒール
Charge,じゅうでん
Gravity,じゅうりょく
Victory Dance,しょうりのまい
Mist,しろいきり
Fissure,じわれ
Vacuum Wave,しんくうは
Synchronoise,シンクロノイズ
Extreme Speed,しんそく
Extrasensory,じんつうりき
Mystical Power,しんぴのちから
Secret Sword,しんぴのつるぎ
Safeguard,しんぴのまもり
Simple Beam,シンプルビーム
Thunderclap,じんらい
Absorb,すいとる
Tail Slap,スイープビンタ
Surging Strikes,すいりゅうれんだ
Sky Uppercut,スカイアッパー
Skill Swap,スキルスワップ
Sappy Seed,すくすくボンバー
Scale Shot,スケイルショット
Clanging Scales,スケイルノイズ
Sketch,スケッチ
Meteor Assault,スターアサルト
Steam Eruption,スチームバースト
Headbutt,ずつき
Parting Shot,すてゼリフ
Double-Edge,すてみタックル
Stealth Rock,ステルスロック
Stone Edge,ストーンエッジ
Shore Up,すなあつめ
Sandstorm,すなあらし
Sand Attack,すなかけ
Sand Tomb,すなじごく
Hydro Vortex,スーパーアクアトルネード
Gigavolt Havoc,スパーキングギガボルト
Swift,スピードスター
Speed Swap,スピードスワップ
Kinesis,スプーンまげ
Spotlight,スポットライト
Smart Strike,スマートホーン
Smog,スモッグ
Switcheroo,すりかえ
Silk Trap,スレッドトラップ
Growth,せいちょう
Sacred Sword,せいなるつるぎ
Sacred Fire,せいなるほのお
Savage Spin-Out,ぜったいほしょくかいてんざん
Sheer Cold,ぜったいれいど
All-Out Pummeling,ぜんりょくむそうげきれつけん
Electrify,そうでん
Spirit Break,ソウルクラッシュ
Clangorous Soul,ソウルビート
Sonic Boom,ソニックブーム
Solar Beam,ソーラービーム
Solar Blade,ソーラーブレード
Fly,そらをとぶ
Max Hailstorm,ダイアイス
Max Darkness,ダイアーク
Max Ooze,ダイアシッド
Max Quake,ダイアース
Max Strike,ダイアタック
Max Guard,ダイウォール
Max Mindstorm,ダイサイコ
Max Lightning,ダイサンダー
Max Airstream,ダイジェット
Max Steelspike,ダイスチル
Max Geyser,ダイストリーム
Max Overgrowth,ダイソウゲン
Earth Power,だいちのちから
Terrain Pulse,だいちのはどう
Max Wyrmwind,ダイドラグーン
Max Knuckle,ダイナックル
Inferno Overdrive,ダイナミックフルフレイム
Explosion,だいばくはつ
Max Flare,ダイバーン
Dive,ダイビング
Max Starfall,ダイフェアリー
Raging Fury,ダイフンゲキ
Max Phantasm,ダイホロウ
Dynamax Cannon,ダイマックスほう
Fire Blast,だいもんじ
Diamond Storm,ダイヤストーム
Max Rockfall,ダイロック
Max Flutterby,ダイワーム
Rototiller,たがやす
Tachyon Cutter,タキオンカッター
Waterfall,たきのぼり
Wicked Torque,ダークアクセル
Dark Void,ダークホール
Muddy Water,だくりゅう
Stockpile,たくわえる
Octolock,たこがため
Gunk Shot,ダストシュート
Slam,たたきつける
Mat Block,たたみがえし
Hex,たたりめ
Twister,たつまき
Shelter,たてこもる
Seed Bomb,タネばくだん
Bullet Seed,タネマシンガン
Double Hit,ダブルアタック
Dual Wingbeat,ダブルウイング
Dual Chop,ダブルチョップ
Twineedle,ダブルニードル
Double Iron Bash,ダブルパンツァー
Soft-Boiled,タマゴうみ
Egg Bomb,タマゴばくだん
Feint Attack,だましうち
Barrage,たまなげ
Assurance,ダメおし
Tar Shot,タールショット
Precipice Blades,だんがいのつるぎ
Minimize,ちいさくなる
Strength Sap,ちからをすいとる
Seismic Toss,ちきゅうなげ
Charge Beam,チャージビーム
Disarming Voice,チャームボイス
Supersonic,ちょうおんぱ
Glacial Lance,ちょうぜつらせんれんげき
Quiver Dance,ちょうのまい
Taunt,ちょうはつ
Moonblast,ムーンフォース
Twin Beam,ツインビーム
Moonlight,つきのひかり
Power Trip,つけあがる
Night Slash,つじぎり
Ivy Cudgel,ツタこんぼう
Peck,つつく
Arm Thrust,つっぱり
Horn Attack,つのでつく
Horn Drill,つのドリル
Wing Attack,つばさでうつ
Aerial Ace,つばめがえし
Baby-Doll Eyes,つぶらなひとみ
Acupressure,つぼをつく
Hone Claws,つめとぎ
Icicle Crash,つららおとし
Icicle Spear,つららばり
Swords Dance,つるぎのまい
Vine Whip,つるのムチ
First Impression,であいがしら
Hold Back,てかげん
Gigaton Hammer,デカハンマー
Conversion,テクスチャ―
Conversion 2,テクスチャ―２
Techno Blast,テクノバスター
Decorate,デコレーション
Oblivion Wing,デスウイング
Helping Hand,てだすけ
Steel Beam,てっていこうせん
Iron Defense,てっぺき
Tera Starstorm,テラクラスター
Tera Blast,テラバースト
Telekinesis,テレキネシス
Teleport,テレポート
Hold Hands,てをつなぐ
Thunder Shock,でんきショック
Bolt Beak,でんげきくちばし
Shock Wave,でんげきは
Quick Attack,でんこうせっか
Double Shock,でんこうそうげき
Light That Burns the Sky,テンクウヲコガスルツキノヒカリ
Sweet Kiss,てんしのキッス
Thunder Wave,でんじは
Magnet Rise,でんじふゆう
Zap Cannon,でんじほう
Howl,とおぼえ
Laser Focus,とぎすます
Roar of Time,ときのほうこう
Poison Gas,どくガス
Poison Jab,どくづき
Toxic,どくどく
Poison Fang,どくどくのキバ
Toxic Thread,どくのいと
Poison Powder,どくのこな
Poison Sting,どくばり
Barb Barrage,どくばりセンボン
Toxic Spikes,どくびし
Coil,とぐろをまく
Spike Cannon,とげキャノン
False Surrender,どげざつき
Kowtow Cleave,ドゲザン
Acid Armor,とける
Baneful Bunker,トーチカ
Take Down,とっしん
Last Resort,とっておき
Fell Stinger,とどめばり
Glitzy Glow,トドメのいちげき
Lunge,とびかかる
Jump Kick,とびげり
Pounce,とびつく
Bounce,とびはねる
High Jump Kick,とびひざげり
Circle Throw,ともえなげ
Tri Attack,トライアタック
Dragon Darts,ドラゴンアロー
Dragon Energy,ドラゴンエナジー
Dragon Cheer,ドラゴンエール
Dragon Claw,ドラゴンクロー
Dragon Rush,ドラゴンダイブ
Dragon Tail,ドラゴンテール
Dragon Hammer,ドラゴンハンマー
Shell Trap,トラップシェル
Snap Trap,トラバサミ
Drum Beating,ドラムアタック
Trick,トリック
Crafty Shield,トリックガード
Flower Trick,トリックフラワー
Trick Room,トリックルーム
Triple Axel,トリプルアクセル
Triple Kick,トリプルキック
Triple Dive,トリプルダイブ
Drill Peck,ドリルくちばし
Drill Run,ドリルライナー
Draining Kiss,ドレインキッス
Drain Punch,ドレインパンチ
Mud Sport,どろあそび
Mud-Slap,どろかけ
Mud Bomb,どろばくだん
Trop Kick,トロピカルキック
Amnesia,ドわすれ
U-turn,とんぼがえり
Confide,ないしょばなし
Night Daze,ナイトバースト
Night Shade,ナイトヘッド
Extreme Evoboost,ナインエボルブースト
Entrainment,なかまづくり
Play Nice,なかよくする
Flail,じたばた
Chip Away,なしくずし
Knock Off,はたきおとす
Tearful Look,なみだめ
Stuff Cheeks,ほおばる
Worry Seed,なやみのタネ
Role Play,なりきり
Crush Grip,にぎりつぶす
Double Kick,にどげり
Needle Arm,ニードルアーム
Spiky Shield,ニードルガード
Flame Charge,ニトロチャージ
Sunny Day,にほんばれ
Leer,にらみつける
Wish,ねがいごと
Fake Out,ねこだまし
Sleep Talk,ねごと
Pay Day,ネコにこばん
Aura Sphere,はどうだん
Population Bomb,ネズミざん
Sandsear Storm,ねっさのあらし
Scorching Sands,ねっすいのち
Scald,ねっとう
Heat Wave,ねっぷう
Sticky Web,ねばねばネット
Sleep Powder,ねむりごな
Rest,ねむる
Snipe Shot,ねらいうち
Ingrain,ねをはる
Confusion,ねんりき
Body Slam,のしかかり
Swallow,のみこむ
Curse,のろい
No Retreat,はいすいのじん
Hydro Cannon,ハイドロカノン
Hydro Steam,ハイドロスチーム
Hydro Pump,ハイドロポンプ
Malicious Moonsault,ハイパーダーククラッシャー
Hyper Drill,ハイパードリル
Hyper Voice,ハイパーボイス
Skitter Smack,はいよるいちげき
Hyper Beam,はかいこうせん
Superpower,ばかぢから
Steel Wing,はがねのつばさ
Spit Up,はきだす
Roar,ほえる
Boomburst,ばくおんぱ
Dynamic Punch,ばくれつパンチ
Guillotine,ハサミギロチン
Vise Grip,はさむ
Flaming Fist,バーニングアクセル
Knock Off,はたきおとす
Pound,はたく
Zippy Zap,びりびりエレキ
Force Palm,はっけい
Razor Leaf,はっぱカッター
Happy Hour,ハッピータイム
Aura Sphere,はどうだん
Heart Stamp,ハートスタンプ
Heart Swap,ハートスワップ
Frenzy Plant,ハードプラント
Hard Press,ハードプレス
Steamroller,ハードローラー
Baton Pass,バトンタッチ
Petal Dance,はなびらのまい
Petal Blizzard,はなふぶき
Roost,はねやすめ
Splash,はねる
Spicy Extract,ハバネロエキス
Bubble Beam,バブルこうせん
Doom Desire,はめつのねがい
Light of Ruin,はめつのひかり
Upper Hand,はたきおとす
Belly Drum,はらだいこ
Parabolic Charge,パラボラチャージ
Barrier,バリアー
Psyshield Bash,バリアーラッシュ
Springtide Storm,はるのあらし
Bullet Punch,バレットパンチ
Trick-or-Treat,ハロウィン
Power Whip,パワーウィップ
Power Split,パワースワップ
Power Gem,パワージェム
Power Shift,パワーシフト
Power Swap,パワースワップ
Power Trick,パワートリック
Mighty Cleave,秘剣・千重波
Blazing Torque,バーンアクセル
Pika Papow,ピカピカサンダー
Light Screen,ひかりのかべ
Ceaseless Edge,ひけん・ちえなみ
Scratch,ひっかく
Topsy-Turvy,ひっくりかえす
Mind Blown,ビックリヘッド
Catastropika,ひっさつのピカチュウ
Hyper Fang,ひっさつまえば
Heat Crash,ヒートスタンプ
Inferno,ひのこ
Secret Power,ひみつのちから
Infernal Parade,ひゃっきやこう
Chilling Water,ひやみず
Mountain Gale,ひょうざんおろし
Dizzy Punch,ピヨピヨパンチ
Buzzy Buzz,びりびりエレキ
Zing Zap,びりびりちくわ
Fillet Away,みをけずる
Combat Torque,ファイティングアクセル
Supersonic Skystrike,ファイナルダイブクラッシュ
Quick Guard,ファストガード
Sucker Punch,ふいうち
Veevee Volley,ブイブイブレイク
Imprison,ふういん
Fairy Lock,フェアリーロック
Dire Claw,フェイタルクロー
Feint,フェイント
Feather Dance,フェザーダンス
Photon Geyser,フォトンゲイザー
Whirlwind,ふきとばし
Eerie Spell,ふういんのじゅもん
Beat Up,ふくろだたき
Corrosive Gas,ふしょくガス
Headlong Rush,ぶちかまし
Blizzard,ふぶき
Stomp,ふみつけ
Flying Press,フライングプレス
Blast Burn,ブラストバーン
Ion Deluge,プラズマシャワー
Plasma Fists,プラズマフィスト
Black Hole Eclipse,ブラックホールイクリプス
Flash,フラッシュ
Blood Moon,ブラッドムーン
Teeter Dance,フラフラダンス
Flower Shield,フラワーガード
Floral Healing,フラワーヒール
Glacial Lance,ブリザードランス
Freeze-Dry,フリーズドライ
Freeze Shock,フリーズボルト
Prismatic Laser,プリズムレーザー
Sky Drop,フリーフォール
Work Up,ふるいたてる
Bloom Doom,ブルーミングシャイン
Fleur Cannon,フルールカノン
Torch Song,フレアソング
Flare Blitz,フレアドライブ
Crush Claw,ブレイククロー
Clangorous Soulblaze,ブレイジングソウルビート
Blaze Kick,ブレイズキック
Take Heart,ブレイブチャージ
Brave Bird,ブレイブバード
Present,プレゼント
Obstruct,ブロッキング
Floaty Fall,ふわふわフォール
Lava Plume,ふんえん
Eruption,ふんか
Powder,ふんじん
Rage Fist,ふんどのこぶし
Brutal Swing,ぶんまわす
Sludge Wave,ヘドロウェーブ
Sludge,ヘドロこうげき
Sludge Bomb,ヘドロばくだん
Venoshock,ベノムショック
Venom Drench,ベノムトラップ
Glare,へびにらみ
Heavy Slam,ヘビーボンバー
Transform,へんしん
Noxious Torque,ポイズンアクセル
Poison Tail,ポイズンテール
Spin Out,ホイールスピン
Defend Order,ぼうぎょしれい
Discharge,ほうでん
Hurricane,ぼうふう
Comeuppance,ほうふく
Roar,ほえる
Stuff Cheeks,ほおばる
Let's Snuggle Forever,ポカポカフレンドタイム
Camouflage,ほごしょく
Covet,ほしがる
Tail Glow,ほたるび
Nuzzle,ほっぺすりすり
Autotomize,ボディパージ
Body Press,ボディプレス
Bone Club,ボーンクラブ
Bonemerang,ボーンブーメラン
Fire Spin,ほのおのうず
Fire Fang,ほのおのキバ
Fire Pledge,ほのおのちかい
Fire Punch,ほのおのパンチ
Fiery Dance,ほのおのまい
Fire Lash,ほのおのムチ
Poltergeist,ポルターガイスト
Volt Tackle,ボルテッカー
Volt Switch,ボルトチェンジ
Perish Song,ほろびのうた
Pulverizing Pancake,マキシマムブルーム
Shattered Psyche,マキシマムサイブレイカー
Wrap,まきつく
Spikes,まきびし
Magnitude,マグニチュード
Magnet Bomb,マグネットボム
Magma Storm,マグマストーム
Magical Torque,マジカルアクセル
Dazzling Gleam,マジカルシャイン
Mystical Fire,マジカルフレイム
Magical Leaf,マジカルリーフ
Magic Coat,マジックコート
Magic Room,マジックルーム
Mud Shot,マッドショット
Mach Punch,マッハパンチ
Infestation,まとわりつく
Copycat,まねっこ
Magic Powder,まほうのこな
Protect,まもる
Defense Curl,まるくなる
Multi-Attack,マルチアタック
Rolling Kick,まわしげり
Lunar Blessing,みかづきのいのり
Lunar Dance,みかづきのまい
Substitute,みがわり
Detect,みきり
Pin Missile,ミサイルばり
Water Sport,みずあそび
Syrup Bomb,みずあめボム
Water Shuriken,みずしゅりけん
Water Gun,みずでっぽう
Misty Explosion,ミストバースト
Misty Terrain,ミストフィールド
Mist Ball,ミストボール
Water Pledge,みずのちかい
Water Pulse,みずのはどう
Soak,みずびたし
Fury Attack,みだれづき
Fury Swipes,みだれひっかき
Destiny Bond,みちづれ
False Swipe,みねうち
Foresight,みやぶる
Future Sight,みらいよち
Miracle Eye,ミラクルアイ
Mirror Coat,ミラーコート
Mirror Shot,ミラーショット
Reflect Type,ミラータイプ
Milk Drink,ミルクのみ
Alluring Voice,みわくのボイス
Never-Ending Nightmare,むげんあんやへのいざない
Eternabeam,むげんダイナ
Bug Bite,むしくい
Bug Buzz,むしのさざめき
Struggle Bug,むしのていこう
Bitter Blade,むねんのつるぎ
Moonblast,ムーンフォース
Menacing Moonraze Maelstrom,ムーンライトブラスター
Mega Drain,メガドレイン
Mega Kick,メガトンキック
Mega Punch,メガトンパンチ
Megahorn,メガホーン
Wake-Up Slap,めざましビンタ
Revelation Dance,めざめるダンス
Hidden Power,めざめるパワー
Metal Claw,メタルクロー
Metal Burst,メタルバースト
Sunsteel Strike,メテオドライブ
Meteor Beam,メテオビーム
Sizzly Slide,めらめらバーン
Attract,メロメロ
Fiery Wrath,もえあがるいかり
Burn Up,もえつきる
Mimic,ものまね
Forest's Curse,もりののろい
Head Smash,もろはのずつき
Incinerate,やきつくす
Temper Flare,やけっぱち
Frustration,やつあたり
Leech Seed,やどりぎのタネ
Storm Throw,やまあらし
Captivate,ゆうわく
Snowscape,ゆきげしき
Avalanche,ゆきなだれ
Metronome,ゆびをふる
Dream Eater,ゆめくい
Acid,ようかいえき
Fairy Wind,ようせいのかぜ
Meditate,ヨガのポーズ
Snatch,よこどり
Bolt Strike,らいげき
Rising Voltage,ライジングボルト
Tectonic Rage,ライジングランドオーバー
Stoked Sparksurfer,ライトニングサーフライド
Thunderous Kick,らいめいげり
Splintered Stormshards,ラジアルエッジストーム
Flash Cannon,ラスターカノン
Luster Purge,ラスターパージ
Twinkle Tackle,ラブリースターインパクト
Recycle,リサイクル
Leaf Storm,リーフストーム
Leaf Blade,リーフブレード
Reflect,リフレクター
Refresh,リフレッシュ
Revenge,リベンジ
Draco Meteor,りゅうせいぐん
Dragon Rage,りゅうのいかり
Dragon Breath,りゅうのいぶき
Dragon Pulse,りゅうのはどう
Dragon Dance,りゅうのまい
Apple Acid,りんごさん
Round,りんしょう
Lumina Crash,ルミナコリジョン
Subzero Slammer,レイジングジオフリーズ
Raging Bull,レイジングブル
Ice Punch,れいとうパンチ
Ice Beam,れいとうビーム
Inferno,れんごく
Fury Cutter,れんぞくぎり
Comet Punch,れんぞくパンチ
Low Sweep,ローキック
Skull Bash,ロケットずつき
Lock-On,ロックオン
Rock Polish,ロックカット
Rock Climb,ロッククライム
Rock Blast,ロックブラスト
Wide Guard,ワイドガード
Expanding Force,ワイドフォース
Breaking Swipe,ワイドブレイカー
Wild Charge,ワイルドボルト
Oceanic Operetta,わだつみのシンフォニア
Cotton Spore,わたほうし
Struggle,わるあがき
Continental Crush,ワールドエンドフォール
Nasty Plot,わるだくみ
Baddy Bad,わるわるゾーン
Strange Steam,ワンダースチーム
Wonder Room,ワンダールーム
